Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,library,npm,pathe,2.0.3,build,transitive build dependency,MIT,pkg:npm/pathe@2.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,picocolors,1.1.1,build,transitive build dependency,ISC,pkg:npm/picocolors@1.1.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,picomatch,4.0.3,build,transitive build dependency,MIT,pkg:npm/picomatch@4.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,postcss,8.5.6,build,transitive build dependency,MIT,pkg:npm/postcss@8.5.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,prismjs,1.30.0,runtime,transitive runtime dependency,MIT,pkg:npm/prismjs@1.30.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,prop-types,15.8.1,runtime,transitive runtime dependency,MIT,pkg:npm/prop-types@15.8.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,protobufjs,8.0.3,runtime,transitive runtime dependency,BSD-3-Clause,pkg:npm/protobufjs@8.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,quickselect,3.0.0,runtime,transitive runtime dependency,ISC,pkg:npm/quickselect@3.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,rbush,4.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/rbush@4.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,react,19.2.4,runtime,direct runtime dependency,MIT,pkg:npm/react@19.2.4,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,react-devtools-inline,4.4.0,runtime,transitive runtime dependency,MIT,pkg:npm/react-devtools-inline@4.4.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,react-dom,19.2.4,runtime,direct runtime dependency,MIT,pkg:npm/react-dom@19.2.4,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
